Concentration,1,2,,
"Time, s",pH,pH,,
0,5.7,6.1,,
1,5.8,5.0,,
2,5.2,5.1,,
3,5.6,5.3,,
4,6.0,5.9,,
5,6.0,4.7,,
6,5.5,5.4,,
7,6.0,5.3,,
8,6.0,4.5,,
9,5.9,5.6,,
10,4.8,4.6,,
11,6.0,4.3,,
12,5.7,4.8,,
13,5.2,4.8,,
14,6.6,4.5,,
15,4.5,4.7,,
16,5.6,4.4,,
17,6.0,4.1,,
18,5.7,4.1,,
19,5.4,4.6,,
20,5.3,4.7,,
21,5.7,4.4,,
22,5.1,4.1,,
23,6.0,4.4,,
24,6.0,4.7,,
25,5.1,4.1,,
26,4.5,4.1,,
27,5.4,3.7,,
28,4.8,4.1,,
29,5.7,4.9,,
30,4.6,4.8,,
31,4.5,4.4,,
32,4.7,4.3,,
33,4.0,4.7,,
34,4.1,4.0,,
35,4.9,4.5,,
36,4.2,4.1,,
37,4.2,3.9,,
38,4.4,4.9,,
39,3.9,4.6,,
40,3.7,4.2,,
41,4.7,4.2,,
42,4.1,4.5,,
43,4.9,3.6,,
44,5.3,4.7,,
45,4.3,4.3,,
